PSME1
PRAF2
DNTTIP2
HTATSF1
NCAPD2
TMEM109
NUP93
PLA2G15
PIP4K2B
MYCBP2
PGRMC1
AARS
GPC1
ELAC2
PLSCR1
CTSL
CTSD
ARHGEF2
ILK
NFIL3
ARL4C
CPNE3
SCRN1
MAN2B1
DCTD
MBNL1
MYCBP
PTPN1
MPC2
ECD
CIRBP
PRSS23
P4HA2
ATP6V0B
CAPN1
STXBP1
ITGB5
SLC11A2
PDIA5
RAP1GAP
NOLC1
CAT
DUSP14
TRIB1
TP53BP1
BECN1
KDELR2
ELAVL1
IGF2R
TIPARP
CRTAP
GMNN
CYTH1
PRCP
SMARCA4
PYGL
RPA2
GTF2E2
ANXA7
TXNRD1
CRYZ
GAA
SKIV2L
BLMH
RRP1B
TSPAN3
KEAP1
SMC3
LBR
PPIE
TERF2IP
BNIP3
BCL2
RBM6
CSK
ALDOC
UBE2L6
PCBD1
ICMT
GNPDA1
NUCB2
RSU1
PTPN12
PCK2
GFPT1
BLVRA
S100A13
MYBL2
STX4
TMCO1
CCDC85B
DDB2
BAMBI
HADH
GLRX
MVP
STMN1
GALE
PTPRF
PGM1
LOXL1
MYO10
LIPA
PHGDH
ST7
IKBKB
PCM1
IER3
FAT1
RNMT
EGFR
NET1
DECR1
NPC1
MEST
PAFAH1B3
CALU
LGALS8
LRP10
ATP1B1
OXCT1
SLC25A4
ASCC3
TRAM2
PYCR1
NCOA3
POLD4
PRKACA
LYRM1
VDAC1
SORBS3
SPAG4
SLC5A6
RGS2
SCYL3
TBX2
DNAJA3
DCUN1D4
DYRK3
POLG2
TRAPPC3
TCFL5
RBM34
ITGB1BP1
ACLY
RAD51C
SMC1A
YME1L1
ACAA1
WFS1
UBE3B
NPDC1
ALDH7A1
POLR2I
AKAP8L
PLEKHJ1
HAT1
G3BP1
TPD52L2
PIH1D1
SHB
UTP14A
TSEN2
LYPLA1
MAP2K5
PUF60
DHRS7
ARID5B
IGHMBP2
ADO
TCTN1
AKR7A2
PPP2R5E
LAMA3
FEZ2
IKBKAP
SGCB
ENOPH1
CNOT4
JMJD6
SLC35F2
ANO10
STUB1
BAD
PSMD10
RAB11FIP2
FPGS
RNH1
ATG3
CFLAR
HEATR1
WDR7
AKAP8
SLC1A4
GRWD1
STAT1
FOXJ3
MTERF3
CHIC2
USP7
NOSIP
DLD
IDE
PRPF4
MELK
SMAD3
OXA1L
SNX7
CDCA4
TBC1D9B
NARFL
DDX42
IKBKE
WDTC1
PLSCR3
H2AFV
NUSAP1
FAM69A
XPO7
FAIM
PXMP2
TIMM17B
STXBP2
HPRT1
RRS1
ADAT1
SCAND1
MFSD10
COPS7A
FIS1
NUDT9
CSRP1
METRN
TCTA
TLK2
KIAA1033
DNAJB6
HMGCS1
SPRED2
MAP7
CHAC1
GNAS
TEX10
ZNF586
APBB2
RNF167
TXNDC9
VGLL4
YTHDF1
LSM5
ZMYM2
CHMP6
PIGB
CHEK2
ACD
SUPV3L1
GPATCH8
ARPP19
RTN2
NPEPL1
UBQLN2
DMTF1
CLPX
TXNL4B
PRR15L
ST6GALNAC2
ADH5
GOLT1B
PPOX
CANT1
HOMER2
CLTB
PHKA1
MAP4K4
PAN2
PPIC
EIF5
TM9SF3
CCDC86
SLC25A14
TBXA2R
HERPUD1
RPL39L
BPHL
MAPKAPK3
MBOAT7
PNKP
SLC35A3
LSR
KDM5A
FAM63A
RAB4A
IFRD2
BACE2
LYN
ISOC1
MOK
DNAJB2
CERK
LAP3
MAPKAPK5
HDGFRP3
RAB21
PSIP1
CREB1
MBNL2
PACSIN3
MTA1
MACF1
HIST1H2BK
PCCB
STAP2
PMM2
HSD17B11
FBXL12
WDR61
FAS
CENPE
CREG1
PRR7
TMEM110
ZNF589
CNDP2
TNIP1
P4HTM
REEP5
BZW2
CGRRF1
AMDHD2
PEX11A
GFOD1
PECR
SOCS2
ZDHHC6
ITGAE
TMEM5
ATP5S
NGRN
HOXA5
GRN
NUP85
GTPBP8
PTK2
EPN2
MCUR1
C2CD5
MRPS16
NOL3
NR1H2
PLS1
DUSP22
RPS6KA1
DCK
TRIM2
VPS28
LRRC16A
NR2F6
EXOSC4
PDLIM1
CRELD2
RRP12
ACAT2
THAP11
CEBPD
MAST2
DHDDS
GADD45B
KIAA0355
DYNLT3
CHMP4A
IPO13
ITFG1
HYOU1
FOS
MCOLN1
ID2
KCNK1
RAI14
DNAJC15
HOXA10
CTNND1
ZNF131
HOOK2
ERBB2
INTS3
RFNG
MICALL1
KLHL21
TLE1
COG2
MRPS2
KCTD5
CNPY3
ADAM10
CD58
KIF5C
HMG20B
PIN1
LAGE3
TNFRSF21
KIF14
CYB561
HTRA1
WASF3
TSPAN6
FBXO21
PPP2R3C
GRB10
ZW10
CORO1A
XPNPEP1
MAMLD1
DSG2
SLC27A3
ADGRE5
IL13RA1
AGL
GATA3
RPA3
TES
SPR
RELB
RPIA
ADGRG1
NVL
ME2
TBC1D31
RFC2
TIMM9
ORC1
PARP2
FASTKD5
HACD3
MSRA
SYNE2
UBE3C
CCDC92
TIMM22
ATF5
NSDHL
ADI1
ADCK3
GDPD5
TARBP1
RBKS
KDM3A
BID
MTF2
PIK3C2B
SLC25A46
CDK19
KIAA0753
KAT6B
CHN1
MAPK13
UFM1
IARS2
GATA2
NRIP1
CCNB2
RNPS1
ARID4B
GSTZ1
SESN1
SPEN
PDHX
DENND2D
CTTN
UBR7
CD44
VAV3
ABHD6
CAB39
TIAM1
DNM1L
DERA
PTPRK
HERC6
ACOT9
ST3GAL5
CTNNAL1
ABHD4
INPP4B
ZMIZ1
PPARG
RPP38
CAST
BAG3
GNA11
TOR1A
SLC25A13
TSPAN4
NR3C1
TRIB3
JADE2
CXCR4
FKBP14
CIAPIN1
COG7
TUBB6
ABL1
CCNF
FAM57A
EVL
GPER1
EAPP
EXT1
POLE2
C2CD2
ANKRD10
DDX10
CEP57
RAB31
ABCC5
RFC5
HES1
KLHL9
UBE2J1
SLC37A4
NPRL2
PWP1
PLEKHM1
VAT1
KIF20A
CDH3
SSBP2
SNX11
SFN
RFX5
PKIG
FSD1
ATP6V1D
CDC45
EDEM1
USP6NL
NT5DC2
CCP110
STK10
UGDH
SQRDL
HEBP1
ATP11B
CD320
MLLT11
CEBPZ
CBR3
